Jaar,LEEFTIJD,GESLACHT,vervoerwijze,vervoerwijzefilter,wegvak/kruispunt,wegbeheerder,wegnummer,HECTOMETER,STRAAT1,STRAAT2,STRAAT3,GEMEENTE,PROVINCIE,type locatie,X_COORD,Y_COORD,Lat,Lon
2006,23,M,Personenauto,1,468309002,,,,Heelweg,Heelweg,Peppelendijk,Berkelland,Gelderland,K,234493,454826,52.07599651,6.546779057
2006,34,M,Fiets,2,468362009,,,,Witmoesdijk,Leijerweerdsdijk,Eversdijk,Wierden,Overijssel,W,234399,481094,52.31206381,6.551559975
2006,24,M,Personenauto,1,469522042,,,"18,0",ASSEN-NOORD 34,RYKSWG,RYKSWG,Assen,Drenthe,K,234822,561218,53.03194675,6.57710227
2006,75,M,Fiets,2,469563054,,,,Europaweg,Europaweg,Sontplein,Groningen,Groningen,K,234965,581516,53.2142872,6.584259195
2006,42,M,Fiets,2,470515014,,,,Dr. A.F. Philipsweg,Dr. A.F. Philipsweg,Europaweg-Noord,Assen,Drenthe,W,235526,557989,53.00283096,6.586793886
2006,87,M,Fiets,2,470604001,,,"1,1",Provincialeweg,Wadwerderweg,Zijlsterweg,Eemsmond,Groningen,W,236376,602933,53.4064762,6.610826956
2006,61,V,Fiets,2,471369002,,,,Enterweg,Enterweg,Rijssensestraat,Wierden,Overijssel,K,235810,484764,52.34483714,6.573128401
2006,36,M,Personenauto,1,473368001,,,,Ypeloweg,Kippershoekweg,Leemslagenweg,Wierden,Overijssel,W,237513,483725,52.33524751,6.597860634
2006,66,V,Personenauto,1,474605007,,,,Provincialeweg,Provincialeweg,Streeksterweg,Eemsmond,Groningen,K,237382,602987,53.40680659,6.625964368
2006,42,M,Personenauto,1,475291001,,,"1,2",Hamelandweg,VISSERIJDIJK,HOGE SCHANS,Oost Gelre,Gelderland,W,237554,445905,51.99538001,6.589266484
2006,36,M,Fiets,2,475292020,,,,Hamelandweg,Hamelandweg,HOGE SCHANS,Oost Gelre,Gelderland,K,237681,446233,51.99830868,6.591194514
2006,30,M,Snorfiets,5,475294022,,,,Lievelderweg,Kloezedijk,Vicariestraat,Oost Gelre,Gelderland,W,237729,447421,52.00897752,6.592180394
2006,37,M,Personenauto,1,475309001,,,,Deventer Kunstweg,Weerkampsweg,Kiefteweg,Berkelland,Gelderland,W,238034,454644,52.07384118,6.598377022
2006,37,V,Personenauto,1,475309001,,,,Deventer Kunstweg,Weerkampsweg,Kiefteweg,Berkelland,Gelderland,W,238034,454644,52.07384118,6.598377022
2006,48,M,Motor,4,475382008,,,,Aadorpweg,Aadorpweg,Verzetstraat,Twenterand,Overijssel,K,237955,491272,52.40299767,6.606207801
2006,78,M,Personenauto,1,476420007,,,,Europaweg,Europaweg,Molenplein,Hardenberg,Overijssel,K,238049,510137,52.57249825,6.612280828
2006,28,V,Personenauto,1,480534031,,,"10,2",RYKSWG,RYKSWG,RYKSWG,Aa en Hunze,Drenthe,W,241930,565989,53.07370921,6.684314534
2006,42,M,Personenauto,1,480534031,,,"10,2",RYKSWG,RYKSWG,RYKSWG,Aa en Hunze,Drenthe,W,241930,565989,53.07370921,6.684314534
2006,22,M,Personenauto,1,481279005,,,,Misterweg,Bredevoortsestraatweg,Stoffelsweg,Winterswijk,Gelderland,W,240944,440067,51.94240239,6.637154201
2006,81,V,Fiets,2,483371099,,,,De Werf,Westerstraat,Wierdensestraat,Almelo,Overijssel,K,241775,486005,52.35507856,6.660967709
2006,72,V,Fiets,2,483381003,,,,Horstweg,Horstweg,Oostermaatweg,Twenterand,Overijssel,K,241705,490852,52.39864355,6.661191777
2006,73,V,Fiets,2,483381003,,,,Horstweg,Horstweg,Oostermaatweg,Twenterand,Overijssel,K,241705,490852,52.39864355,6.661191777
2006,19,M,Bromfiets,5,484294020,,,,Groenloseweg,LANDWEER,Winterswijkseweg,Winterswijk,Gelderland,K,242144,447285,52.00707931,6.65643711
2006,84,M,Fiets,2,484372025,,,,Hofstraat,Hagenborgh,Hanzelaan,Almelo,Overijssel,W,242424,486128,52.35608087,6.670524029
2006,42,V,Personenauto,1,484513001,,,,Provincialeweg,Nijend,Staatsbos,Aa en Hunze,Drenthe,W,243670,557243,52.99485006,6.707881081
2006,17,M,Personenauto,1,487286001,,,,Corleseweg,Corleseweg,Bessinkgoorweg,Winterswijk,Gelderland,W,244456,442867,51.96700988,6.688949369
2006,20,M,Personenauto,1,487581002,,,,Stadsweg,Borgweg,Kromme Elleboog,Ten Boer,Groningen,W,244016,591149,53.29939649,6.722390089
2006,47,M,Personenauto,1,488526004,,,"9,7",RYKSWG,ANNEN,RYKSWG,Aa en Hunze,Drenthe,W,245025,561745,53.03507185,6.72930524
2006,49,M,Personenauto,1,488526004,,,"9,6",RYKSWG,ANNEN,RYKSWG,Aa en Hunze,Drenthe,W,245336,561354,53.03150699,6.733831571
2006,73,M,Personenauto,1,488526004,,,"9,6",RYKSWG,ANNEN,RYKSWG,Aa en Hunze,Drenthe,W,245336,561354,53.03150699,6.733831571
2006,72,V,Fiets,2,488550005,,,,Woldweg,Burg van Royenstraat W,Abraham Kuypersingel,Hoogezand-Sappemeer,Groningen,W,244362,575037,53.1545964,6.723095983
2006,68,M,Personenauto,1,489325008,,,"1,3",Eibergsestraat,Eibergsestraat,Eibergsestraat,Haaksbergen,Overijssel,W,244814,462905,52.14701683,6.699428464
2006,78,M,Voetganger,3,489396022,,,,Heppenweg,Heppenweg,Langehaarsweg,Tubbergen,Overijssel,K,244982,498394,52.46588433,6.711356312
2006,41,M,Bestelauto,5,489418001,,,,Stobbenhaarweg,Snoeijinksdijk,Radewijkerweg,Hardenberg,Overijssel,W,245305,509318,52.56398675,6.719066741
2006,21,M,Personenauto,1,490588006,,,,Wijmersweg,Zwartelaan,Fivelstraat,Loppersum,Groningen,W,245550,594406,53.32839687,6.746315311
2006,35,M,Personenauto,1,492293002,,,,Meddoseweg,Wormskampweg,Hilgeloweg,Winterswijk,Gelderland,W,246390,446678,52.0009414,6.718101598
2006,21,M,Personenauto,1,492418005,,,,Pekeldijk,Doodlopende weg,Pekeldijk,Hardenberg,Overijssel,W,246413,509295,52.56359564,6.735397419
2006,22,V,Personenauto,1,492462002,,,,Klenkerweg,Edveensweg,Oude Tolhuisweg,Coevorden,Drenthe,W,246504,531429,52.76245294,6.742860263
