"ORIG_ID,N,10,0","ONG,N,10,0","UMS,N,10,0","ONGSLA,N,10,0","ONGDOD,N,10,0","ONGZKHGEW,N,10,0","ONGOVGGEW,N,10,0","ONGERNST,N,10,0","BST,N,10,0","VWD,N,10,0","BSTSLA,N,10,0","BSTDODSLA,N,10,0","BSTZKHGEW,N,10,0","BSTOVGGEW,N,10,0","BSTERNST,N,10,0","PASSLA,N,10,0","PASDODSLA,N,10,0","PASZKHGEW,N,10,0","PASOVGGEW,N,10,0","PASERNST,N,10,0","SLA,N,10,0","DODSLA,N,10,0","ZKHGEW,N,10,0","OVGGEW,N,10,0","ERNST,N,10,0","WEGING,N,10,0","XCOR,N,20,5","YCOR,N,20,5","KRAA_,C,1"
24614,2,1,1,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127382,501551,"J"
24615,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127423,502298,"J"
24616,4,3,1,0,0,1,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127245,503478,"J"
24617,2,1,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127292,503265,"J"
24618,5,3,2,0,0,2,0,10,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,127089,509221,"J"
24619,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,127273,515299,"J"
24622,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127840,478267,"J"
24623,4,3,1,0,1,0,1,8,0,1,0,1,0,1,1,0,0,1,0,2,0,1,1,1,0,127851,480608,"J"
24624,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127903,483426,"J"
24625,5,3,2,0,1,1,1,9,1,2,0,1,1,1,1,0,0,1,0,3,0,1,2,1,0,127931,483461,"J"
24626,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"127596,309","485955,557","J"
24627,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127761,501494,"J"
24628,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127878,501696,"J"
24629,13,8,5,0,0,5,0,29,0,4,0,0,4,0,1,0,0,1,0,5,0,0,5,0,0,127569,502340,"J"
24630,4,3,1,0,0,1,0,7,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"127688,943","503534,486","J"
24631,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127768,527518,"J"
24632,3,2,1,0,1,0,1,7,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,"128304,449","485337,944","J"
24633,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128237,494309,"J"
24634,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127966,547595,"J"
24635,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128134,478456,"J"
24636,3,2,1,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,128289,480899,"J"
24637,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"128379,639","485426,263","J"
24638,2,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128153,502825,"J"
24639,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128420,536149,"J"
24640,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128134,536311,"J"
24641,3,0,3,0,2,1,2,6,0,3,0,2,1,2,1,0,1,0,1,4,0,3,1,3,0,128300,542725,"J"
24642,1,0,1,0,1,0,1,1,2,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,"128994,231","484884,387","J"
24643,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"128677,492","485158,147","J"
24644,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"128605,294","485073,605","J"
24645,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"129236,124","485003,956","J"
24646,1,0,1,0,0,1,0,3,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,"128552,19","494095,593","J"
24647,6,5,1,0,0,1,0,12,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,128804,503298,"J"
24648,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128966,503590,"J"
24649,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128693,509813,"J"
24650,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,"128662,561","510336,843","J"
24651,1,0,1,0,1,0,1,2,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,128845,511710,"J"
24652,1,0,1,0,1,0,1,2,1,1,0,1,0,1,2,0,1,1,1,3,0,2,1,2,0,128864,511722,"J"
24653,4,1,3,0,1,2,1,8,1,5,0,0,5,0,3,0,1,2,1,8,0,1,7,1,0,128759,548098,"J"
24654,4,3,1,0,1,0,1,6,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,129172,500163,"J"
24655,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129418,506399,"J"
24656,2,1,1,0,0,1,0,4,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,129309,515742,"J"
24657,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129311,515753,"J"
